"gamename","categoryname","platformname","regionname","place","time","date","video","comment"
"Devil's Crush","TG16","TurboGrafx-16/PC Engine","USA / NTSC",1,256.0,"2020-04-11","https://www.youtube.com/watch?v=xZNVYcYhShg","Played on a TG-16 with a TBED."
"Jaki Crush","5 Million Points","Super Nintendo","JPN / NTSC",1,107.0,"2020-04-10","https://www.youtube.com/watch?v=HieOlNg-5qI","Played on an SNS-001 with an SD2SNES.      tonight, it was the jaki that was crushed"
"Jaki Crush","10 Million Points","Super Nintendo","JPN / NTSC",1,108.0,"2020-04-10","https://www.youtube.com/watch?v=HieOlNg-5qI","Played on an SNS-001 with an SD2SNES.      tonight, it was the jaki that was crushed"
"Power Golf","Stroke Play","TurboGrafx-16/PC Engine","USA / NTSC",2,712.066,"2020-04-05","https://www.youtube.com/watch?v=mcy-ZeUCUBU","Played on a TG-16 with TBED.    Frame counted to 11:52.066.    POWERFUL GOLF"
"Alien Crush","5 Million Points","TurboGrafx-16/PC Engine","USA / NTSC",1,205.0,"2020-03-26","https://www.youtube.com/watch?v=QwhcrfC0xVw","Played on a TG-16 with TBED.    Frame count: 3:25.950  "
"Luftrausers","Level MAX!","PC","",1,2960.0,"2020-03-21","https://www.youtube.com/watch?v=kZBV3NpIAjo","pew pew intensifies"
"Luftrausers","All Parts","PC","",1,1563.0,"2020-03-20","https://www.youtube.com/watch?v=-PHFcokbQEc","pew pew pew pew pew"
"Jeopardy Deluxe Edition (SNES)","CPU%","Super Nintendo","",2,1959.0,"2020-02-01","https://www.youtube.com/watch?v=PLpP1XUafGM","Played on an SNS-001 with an SD2SNES.    So very close..."
"Jeopardy! (SNES)","Vs. CPU","Super Nintendo","USA / NTSC",5,1625.0,"2020-01-23","https://www.youtube.com/watch?v=4eZdxUaWZWc","Played on an SNS-001 with an SD2SNES."
"Jeopardy! (NES)","Win (Solo)","Nintendo Entertainment System","USA / NTSC",7,895.0,"2020-01-21","https://www.youtube.com/watch?v=5CxXnAXaxnE","Played on a front-loader with EDN8."
"Wheel of Fortune (SNES/Genesis)","Any%","Sega Genesis","USA / NTSC",1,137.0,"2020-01-19","https://www.youtube.com/watch?v=zkC7TN7Ohdw","Played on a Genesis v2 with original cart."
"Jeopardy! (Sega Genesis)","Win (Versus)","Sega Genesis","USA / NTSC",1,1543.0,"2020-01-19","https://www.youtube.com/watch?v=8hFv1a-PPC4","Played on a Genesis v2 with original cart."
"Wheel of Fortune","Vs cpu","Nintendo Entertainment System","USA / NTSC",4,241.0,"2020-01-18","https://www.youtube.com/watch?v=7p0af_QhmpU","Played on a front-loader with an original cart."
"Wheel of Fortune: Family Edition","VS. Cpu","Nintendo Entertainment System","USA / NTSC",3,223.0,"2020-01-18","https://www.youtube.com/watch?v=2QkPBK7DsLQ","Played on a front-loader with an EDN8."
"Wheel of Fortune","Any%","Nintendo Entertainment System","USA / NTSC",4,177.0,"2020-01-15","https://youtu.be/4RsYcdlZ8is","Played on a front-loader with original cart."
"Wheel of Fortune: Family Edition","Any%","Nintendo Entertainment System","USA / NTSC",3,200.0,"2020-01-13","https://www.youtube.com/watch?v=7o-FrgiloDo","Played on a front-loader with EDN8."
"Wheel of Fortune: Junior Edition","Any%","Nintendo Entertainment System","USA / NTSC",2,168.0,"2020-01-12","https://www.youtube.com/watch?v=QlmxxlNjeCM","Played on a front-loader with an EDN8.    GLOWWORM finally came through :-)"
"Dragonfire","1000 Points","Atari 2600","",3,3.467,"2020-01-12","https://www.youtube.com/watch?v=PSPy-1mJz1g","Now with CharStrats PogChamp    Played on BizHawk.    Frame counted with avidemux from first frame of possible movement to frame 1000 points appears."
"Dragonfire","5000 Points","Atari 2600","",2,18.35,"2020-01-12","https://www.youtube.com/watch?v=plUD62SLuoU","Now with CharStrats PogChamp    Played on BizHawk.    Frame counted with avidemux from first frame of possible movement to frame 5000 points appears."
"Wheel of Fortune (1987)","Any%","Commodore 64","USA / NTSC",1,145.0,"2020-01-11","https://www.youtube.com/watch?v=C7ZKBz8bxgI","using patented kavoc bonus round strats"
"Wheel of Fortune (1987)","VS. Cpu","Commodore 64","USA / NTSC",1,198.0,"2020-01-11","https://www.youtube.com/watch?v=zl55G-mnr7g","using patented kavoc bonus round strats "
"Wheel of Fortune (1987)","VS. Cpu","Commodore 64","USA / NTSC",1,184.0,"2020-01-09","https://www.youtube.com/watch?v=eQKCtSYOxF8","None"
"Wheel of Fortune (1987)","Any%","Commodore 64","USA / NTSC",1,144.0,"2020-01-09","https://www.youtube.com/watch?v=WEm8cQ5KpiU","with patented kavoc bonus round strats"
"Wheel of Fortune: Junior Edition","VS. Cpu","Nintendo Entertainment System","USA / NTSC",3,225.0,"2020-01-04","https://www.youtube.com/watch?v=0fLbg59fzYM","Played on a front-loader with EDN8."
"Wheel of Fortune: Featuring Vanna White","Any%","Nintendo Entertainment System","USA / NTSC",2,204.0,"2020-01-01","https://www.youtube.com/watch?v=j-ZycTIg_Sk","Played on a front-loader with EDN8."
"Wheel of Fortune: Featuring Vanna White","Any%","Sega Game Gear","USA / NTSC",1,168.0,"2019-12-29","https://www.youtube.com/watch?v=IJpKIvEoJSM","Played on BizHawk "
"Wheel of Fortune: Featuring Vanna White","VS. Cpu","Sega Game Gear","USA / NTSC",1,209.0,"2019-12-29","https://www.youtube.com/watch?v=P1Bx_ASn9Z4","Played on BizHawk. "
"Wheel of Fortune (GB)","Any%","Super Game Boy 2","USA / NTSC",1,192.0,"2019-12-24","https://www.youtube.com/watch?v=laSUrgeozUg","Played on an SNS-001 with Super Gameboy 2 and original cart."
"Wheel of Fortune (GB)","VS. Cpu","Super Game Boy 2","USA / NTSC",1,200.0,"2019-12-24","https://www.youtube.com/watch?v=UlS0y6MAtjE","Played on an SNS-001 with Super Gameboy 2 and original cart."
"Qix","Level 10 (GB)","Super Game Boy 2","USA / NTSC",2,361.0,"2019-12-23","https://www.youtube.com/watch?v=BepoHDa9xjk","Played on an SNS-001 with Super Gameboy 2 and EDGB x7. "
"Wheel of Fortune (SNES/Genesis)","Any%","Super Nintendo","USA / NTSC",1,145.0,"2019-12-23","https://www.youtube.com/watch?v=wcQ6Tf8OIA0","Played on an SNS-001 with an SD2SNES."
"Wheel of Fortune: Deluxe Edition","Any%","Super Nintendo","USA / NTSC",1,247.0,"2019-12-23","https://www.youtube.com/watch?v=TmJ07i_LoOk","Played on an SNS-001 with an original cart."
"Wheel of Fortune (1998)","All Stages (PS)","PlayStation","USA / NTSC",1,2070.0,"2019-12-21","https://www.youtube.com/watch?v=CQCY_kgFaQE","Played on a SCPH-1001."
"Wheel Of Fortune (2nd Edition)","All Stages (PS)","PlayStation","USA / NTSC",1,1401.0,"2019-12-19","https://www.youtube.com/watch?v=MOpJ0xkVi_w","Played on a SCPH-1001."
"Wheel Of Fortune (2nd Edition)","All Stages (PS)","PlayStation","USA / NTSC",1,2085.0,"2019-12-19","https://www.youtube.com/watch?v=kkuQq9E1J3k","Played on a SCPH-1001. "
"Wheel of Fortune: Featuring Vanna White","VS. Cpu","Nintendo Entertainment System","USA / NTSC",2,289.0,"2019-12-17","https://www.youtube.com/watch?v=yCjVXmsznH4","Played on a front-loader with EDN8."
"Wheel of Fortune (SegaCD)","Any%","Sega CD","USA / NTSC",1,440.0,"2019-12-14","https://www.youtube.com/watch?v=P2iNyz4BOGU","Played on a Genesis v2 with a MegaSD.    Mod Note: I've marked the run as emulator, because the Mega SD appears be hardware emulation inside of a cartridge. Run subject to removal if determined game, including load times, emulates incorrectly."
"Wheel of Fortune (SegaCD)","Cpu%","Sega CD","USA / NTSC",1,510.0,"2019-12-14","https://www.youtube.com/watch?v=-4QdVcXCQo0","Played on a Genesis v2 with a MegaSD.    Mod Note: I've marked the run as emulator, because the Mega SD appears be hardware emulation inside of a cartridge. Run subject to removal if determined game, including load times, emulates incorrectly."
"Wheel of Fortune (N64)","Coop","Nintendo 64","USA / NTSC",1,413.0,"2019-12-11","https://www.youtube.com/watch?v=n5yl2r1QBDc","Played on an N64 with ED64.      SPECIAL THANKS TO ALF THE DESTRUCTOR AND THE THREE CLONES"
"Wheel of Fortune (1998)","All Stages (PS)","PlayStation","USA / NTSC",1,3897.0,"2019-12-07","https://www.youtube.com/watch?v=96ltMk8zHSU","Played on a SCPH-1001."
"Navy Seals","Any%","Game Boy","USA / NTSC",1,641.0,"2019-11-29","https://www.youtube.com/watch?v=FcfpiH1-DfU","Played on an SNS-001 with Super Gameboy 2 and EDGB x7."
"Rock 'n' Ball","Ice Hockey","Nintendo Entertainment System","USA / NTSC",5,196.0,"2019-11-17","https://www.youtube.com/watch?v=3G1o2XkGprM","Played on a front-loader with EDN8. "
"Rock 'n' Ball","Soccer","Nintendo Entertainment System","USA / NTSC",4,223.0,"2019-11-17","https://www.youtube.com/watch?v=5_Xy1e_SpdY","Played on a front-loader with EDN8.  "
"Rock 'n' Ball","Attack","Nintendo Entertainment System","USA / NTSC",3,205.0,"2019-11-17","https://www.youtube.com/watch?v=fBhI3rMlpjo","Played on a front-loader with EDN8.  "
"Rock 'n' Ball","Thunder","Nintendo Entertainment System","USA / NTSC",3,391.0,"2019-11-17","https://www.youtube.com/watch?v=BPmqhaQdML8","Played on a front-loader with EDN8."
"Break Time: The National Pool Tour","Rotation","Nintendo Entertainment System","USA / NTSC",4,794.0,"2019-11-17","https://www.youtube.com/watch?v=8ejieCrp_b0","Played on a front-loader with EDN8. "
"Break Time: The National Pool Tour","14-1 Rack Game","Nintendo Entertainment System","USA / NTSC",5,2242.0,"2019-11-17","https://www.youtube.com/watch?v=VRsiM-mUgRQ","Played on a front-loader with EDN8. "
"Rock 'n' Ball","Bomber","Nintendo Entertainment System","USA / NTSC",4,221.0,"2019-11-16","https://www.youtube.com/watch?v=cdiPe0Nvy8Q","Played on a front-loader with EDN8. "
"Pieces","Easy-Hard (Mouse)","Super Nintendo","USA / NTSC",3,982.0,"2019-11-16","https://www.youtube.com/watch?v=M91e5z_QzYw","Played on an SNS-001 with an SD2SNES."
"Championship Pool (NES)","Three Ball","Nintendo Entertainment System","USA / NTSC",3,76.0,"2019-10-27","https://www.youtube.com/watch?v=-1q_cAE7RE4","Played on a front-loader with EDN8. "
"Break Time: The National Pool Tour","Nine Ball","Nintendo Entertainment System","USA / NTSC",5,265.0,"2019-10-27","https://youtu.be/id-9vpKaR5I","Played on a front loader with an EDN8."
"Break Time: The National Pool Tour","Eight Ball","Nintendo Entertainment System","USA / NTSC",6,499.0,"2019-10-27","https://youtu.be/eW7OTBuIyDo","Played on a front loader with an EDN8."
"Championship Pool (GB)","Challenge - Speed Pool","Super Game Boy 2","",4,820.0,"2019-10-27","https://www.youtube.com/watch?v=MvLlZGGhbHU","Played on an SNS-001 with Super Gameboy 2 and EDGB x7. "
"Race Drivin' (GB)","Autocross (One Lap)","Game Boy","USA / NTSC",2,34.67,"2019-10-27","https://www.youtube.com/watch?v=wgZ6mqeSyD8","Played on an SNS-001 with Super Gameboy 2 and EDGB x7. "
"Race Drivin' (GB)","Stunt (Left Track) (One Lap)","Game Boy","USA / NTSC",2,69.71,"2019-10-27","https://www.youtube.com/watch?v=pRRVSfrNv5c","Played on an SNS-001 with Super Gameboy 2 and EDGB x7."
"Race Drivin' (GB)","Stunt (Right Track) (One Lap)","Game Boy","USA / NTSC",2,89.27,"2019-10-27","https://www.youtube.com/watch?v=xg1g4Trkewk","Played on an SNS-001 with Super Gameboy 2 and EDGB x7"
"Race Drivin' (GB)","Super Stunt (One Lap)","Game Boy","USA / NTSC",2,128.52,"2019-10-27","https://www.youtube.com/watch?v=9dKeHXBzmvc","Played on an SNS-001 with Super Gameboy 2 and EDGB x7."
"Race Drivin' (GB)","All Tracks (One Lap)","Game Boy","USA / NTSC",3,240.49,"2019-10-27","https://www.youtube.com/watch?v=IK6CLWtDH_U","Played on an SNS-001 with Super Gameboy 2 and EDGB x7.    First track selected at 0.21  Final finish line crossed at 4:00.70"
"Championship Pool (SNES)","Three Ball","Super Nintendo","USA / NTSC",5,66.0,"2019-10-26","https://www.youtube.com/watch?v=fYDHQZboXC0","Played on an SNS-001 with SD2SNES."
"Championship Pool (SNES)","Speed Pool","Super Nintendo","USA / NTSC",5,399.0,"2019-10-26","https://www.youtube.com/watch?v=Eid49f3eo8g","Played on an SNS-001 with SD2SNES."
"Championship Pool (Genesis)","Speed Pool","Sega Genesis","USA / NTSC",4,542.0,"2019-10-26","https://www.youtube.com/watch?v=51ccx-K4pM0","Played on a Genesis v2 with Mega EverDrive x5."
"Championship Pool (Genesis)","Three Ball","Sega Genesis","USA / NTSC",4,81.0,"2019-10-26","https://www.youtube.com/watch?v=-ZXlLVmnPmk","Played on a Genesis v2 with Mega EverDrive x5."
"Championship Pool (NES)","Speed Pool","Nintendo Entertainment System","USA / NTSC",4,108.0,"2019-10-25","https://www.youtube.com/watch?v=m3AvQyZvZzg","Played on a front-loader with EDN8"
"Magic Johnson's Fast Break","100 Points","Nintendo Entertainment System","USA / NTSC",7,218.0,"2019-10-25","https://www.youtube.com/watch?v=1HP2Sv4f4oU","Played on a front-loader with original cart."
"VR Troopers","Genesis","Sega Genesis","USA / NTSC",1,1468.0,"2019-10-23","https://www.youtube.com/watch?v=rnNll8QZ8hY","Played on a Genesis v2 with Mega EverDrive x5."
"VR Troopers","Genesis","Sega Genesis","USA / NTSC",1,1549.0,"2019-10-23","https://www.youtube.com/watch?v=CcRR6SX3lbE","Played on a Genesis v2 with Mega EverDrive x5. "
"VR Troopers","Genesis","Sega Genesis","USA / NTSC",1,1256.0,"2019-10-22","https://www.youtube.com/watch?v=Qc3PO1DQhLg","Played on a Genesis v2 with Mega EverDrive x5."
"VR Troopers","Genesis","Sega Genesis","USA / NTSC",2,1133.0,"2019-10-21","https://www.youtube.com/watch?v=y8BsdKLxex8","Played on a Genesis v2 with Mega EverDrive x5."
"ClayFighter: Tournament Edition","Easy","Super Nintendo","USA / NTSC",5,769.0,"2019-10-21","https://www.youtube.com/watch?v=9H9Fmk9rcAA","Played on an SNS-001 with SD2SNES."
"American Gladiators (SNES)","Any%","Super Nintendo","USA / NTSC",3,316.0,"2019-10-21","https://www.youtube.com/watch?v=ETIAPIG5tc4","Played on an SNS-001 with SD2SNES. "
"VR Troopers","Genesis","Sega Genesis","USA / NTSC",3,981.0,"2019-10-21","https://www.youtube.com/watch?v=gEFJ1TBoP_c","Played on a Genesis v2 with Mega EverDrive x5.    MOD: Re-timed and time corrected -NN"
"The Incredible Machine","Beat The Game","MS-DOS","USA / NTSC",1,4904.0,"2019-10-20","https://www.youtube.com/watch?v=09iw5qTGBMw","None"
"The Hunt for Red October (GB)","Beat The Game","Super Game Boy 2","USA / NTSC",1,2270.0,"2019-10-13","https://www.youtube.com/watch?v=x0pZBy1XqL8","Played on an SNS-001 with Super Gameboy 2 and an original cart."
"Caesars Palace","Best Ending","Super Game Boy 2","USA / NTSC",3,245.55,"2019-09-15","https://www.youtube.com/watch?v=KXxrGVHBD8U","Played on an SNS-001 with Super Gameboy 2 and EDGB x7.     Not perfect, but it's a start."
"Xena: Warrior Princess: The Talisman of Fate","Any%","Nintendo 64","",1,321.0,"2019-09-14","https://www.youtube.com/watch?v=JEBCA-EFWu0","Played on an N64 with ED64."
"jumpNULL","Any%","Web","",6,245.0,"2019-09-12","https://www.youtube.com/watch?v=ENF_VtufyJQ","None"
"Legends of the Diamond","Win a Game","Nintendo Entertainment System","USA / NTSC",2,1892.0,"2019-09-08","https://www.youtube.com/watch?v=Ep_bvsyibGM","Played on a front-loader with EDN8."
"Life, Yahtzee, Payday","Life","Game Boy Advance","USA / NTSC",4,288.0,"2019-09-07","https://www.youtube.com/watch?v=xpxUHegrk_s","Played on BizHawk (mGBA core). "
"Ultimate QIX / Volfied","Mode C","Sega Genesis","USA / NTSC",1,678.2,"2019-09-07","https://www.youtube.com/watch?v=s0ZMZivtCo8","Played on a Genesis v2 with MED x5.    Round	1	19.6  Round	2	22.1  Round	3	20.2  Round	4	20.7  Round	5	19.1  Round	6	138.6  Round	7	70.6  Round	8	7.7  Round	9	53.3  Round	10	14.2  Round	11	48.8  Round	12	32.1  Round	13	42.6  Round	14	56.8  Round	15	56.6  Round	16	55.2    Total: 11:18.2"
"Boom Blox","Adventure Mode","Wii","",2,1074.0,"2019-09-06","https://www.youtube.com/watch?v=T4aJrgMVL-Q","Played on a Wii with original disc."
"Hyper V-Ball","Hyper%","Super Nintendo","USA / NTSC",2,175.97,"2019-09-06","https://www.youtube.com/watch?v=nFHCNxagFos","Played on an SNS-001 with SD2SNES."
"Hyper V-Ball","Women%","Super Nintendo","USA / NTSC",3,200.13,"2019-09-06","https://www.youtube.com/watch?v=wFBUtLiVQaI","Played on an SNS-001 with SD2SNES. "
"Life, Yahtzee, Payday","Yahtzee","Game Boy Advance","USA / NTSC",7,45.0,"2019-09-06","https://www.youtube.com/watch?v=nirXAvCtF-M","Played on BizHawk (mGBA core)."
"Life, Yahtzee, Payday","Yahtzee","Game Boy Advance","USA / NTSC",4,249.0,"2019-09-06","https://www.youtube.com/watch?v=WsvpX6dMC2g","Played on BizHawk (mGBA core). "
"Zero Wing","Any% - EASY","Sega Genesis","",1,2012.0,"2019-09-05","https://www.youtube.com/watch?v=X29GhXRJOSo","Played on a Genesis v2 with MED x5.    No-miss, decently quick kills on the stage end bosses."
"Hyper V-Ball","Men%","Super Nintendo","USA / NTSC",2,160.288,"2019-09-05","https://www.youtube.com/watch?v=pL93TMNGG9E","Played on an SNS-001 with SD2SNES."
"Revenge of the 'Gator","High Score","Super Game Boy 2","USA / NTSC",1,670.89,"2019-09-04","https://www.youtube.com/watch?v=r8LEy4yi430","Played on an SNS-001 with Super Gameboy 2 and EDGB x7."
"Ishido: The Way of the Stones","1 Win (FDS)","Famicom Disk System","JPN / NTSC",1,219.0,"2019-09-04","https://www.youtube.com/watch?v=gtl3jHcbJnM","Played on a front-loader with EDN8.    Started timing at confirmation of starting a new game.  Ended timing with the dialog for the final tile placed."
"Ultimate Brain Games","PS","PlayStation","USA / NTSC",3,58.0,"2019-09-03","https://www.youtube.com/watch?v=C-BcOjYy37w","Played on a SCPH-1001."
"Ultimate Brain Games","PS","PlayStation","USA / NTSC",2,16.0,"2019-09-03","https://www.youtube.com/watch?v=J2e57wEkuDE","Played on a SCPH-1001."
"Ultimate Brain Games","PS","PlayStation","USA / NTSC",3,11.0,"2019-09-03","https://www.youtube.com/watch?v=PWgfXvG3lV4","Played on a SCPH-1001. "
"Ready 2 Rumble Boxing","Arcade Mode","Nintendo 64","USA / NTSC",3,247.0,"2019-08-25","https://www.youtube.com/watch?v=tp4rWXOu1L8","Played on an N64 with ED64."
"G-Loc Air Battle","Any% (Trainee)","Sega Master System","USA / NTSC",2,180.24,"2019-08-24","https://www.youtube.com/watch?v=BhTYk1GG2Xo","Played on a Genesis v2 with a MED x5."
"Toughman Contest","Exhibition%","Sega Genesis","USA / NTSC",1,36.0,"2019-08-24","https://www.youtube.com/watch?v=8ix96qRjvTE","Played on a Genesis v2 + 32X with a MED x5    TKO displayed at 36.06.  Not sure if that is the timer end or if the newspaper showing up is it."
"Boom Blox","Explore Mode","Wii","",1,349.0,"2019-07-21","https://www.youtube.com/watch?v=rHoEJayVI2M","Played on a Wii with original disc."
"Boom Blox","Explore Mode","Wii","",1,140.0,"2019-07-21","https://www.youtube.com/watch?v=hvgyrXSKgr8","Played on a Wii with original disc."
"Boom Blox","Explore Mode","Wii","",2,128.0,"2019-07-21","https://www.youtube.com/watch?v=tsqjPDeH1wQ","Played on a Wii with original disc."
"WWF Super Wrestlemania","Genesis","Sega Genesis","USA / NTSC",2,286.0,"2019-07-21","https://www.youtube.com/watch?v=YFdrMxf8Tr0","Played on a Genesis v2 with MED x5.    Last wrestler selected - 0.05  3 count on last opponent - 4:51.89    MOD: Time corrected to match new rule -NN"
"WWF Super Wrestlemania","SNES","Super Nintendo","USA / NTSC",6,68.0,"2019-07-21","https://www.youtube.com/watch?v=bZ6m_H1DnX4","Played on an SNS-001 with SD2SNES.     Opponent selected - 1.80  3 count - 1:10.49    MOD: Time corrected -NN"
"WWF Super Wrestlemania","SNES","Super Nintendo","USA / NTSC",4,69.0,"2019-07-21","https://www.youtube.com/watch?v=oWIA_sxqKK0","Played on an SNS-001 with SD2SNES.     Second opponent selected - 3.08  3 count - 1:13.18    MOD: Time corrected -NN"
"WWF Super Wrestlemania","SNES","Super Nintendo","USA / NTSC",5,298.0,"2019-07-21","https://www.youtube.com/watch?v=G6k_5-ENVZc","Played on an SNS-001 with SD2SNES.    Splits started late, so retimed with avidemux:  Last wrestler selected: 26.934  2 count on last opponent: 5:35.334  Total run time: 5:08.400    MOD: Time corrected to match new rule -NN"
"Boom Blox","Explore Mode","Wii","",2,195.0,"2019-07-20","https://www.youtube.com/watch?v=MjXmKnhCAPs","Played on a Wii with original disc."
"Boom Blox","Explore Mode","Wii","",1,380.0,"2019-07-20","https://www.youtube.com/watch?v=Jy90bljrGrQ","Played on a Wii with original disc"
"Mighty Morphin Power Rangers (Genesis)","Any%","Sega Genesis","",23,376.0,"2019-07-20","https://www.youtube.com/watch?v=48krRtk61H4","Played on a Genesis v2 with MED x5."
"Wrestle War","Any Title%","Sega Genesis","USA / NTSC",2,199.0,"2019-07-20","https://www.youtube.com/watch?v=Y-gFQ8btg34","Played on a Genesis v2 with MED x5.    Start pressed - 0.57   Title belt appears - 3:20.12"
"WWF Super Wrestlemania","Genesis","Sega Genesis","USA / NTSC",4,71.0,"2019-07-20","https://www.youtube.com/watch?v=8zJZ99t2tAY","Played on a Genesis v2 with MED x5.    MOD: Time corrected to new timer rule -NN"
"WWF Super Wrestlemania","Genesis","Sega Genesis","USA / NTSC",3,96.0,"2019-07-20","https://www.youtube.com/watch?v=I5xprfcHcQE","Played on a Genesis v2 with MED x5.    MOD: Time corrected to new timer rule -NN"
"Ishido: The Way of the Stones","1 Win (Lynx)","Atari Lynx","USA / NTSC",2,178.0,"2019-07-14","https://www.youtube.com/watch?v=Owc_eP_rjPU","Now on Lynx!    Time started when pressing ""Start Game"".  Time ended when ""Congratulations"" appeared."
"Xenophobe","Max Score (NES)","Nintendo Entertainment System","USA / NTSC",2,2828.0,"2019-07-10","https://www.youtube.com/watch?v=f1yhrV2FE8E","Played on a front-loader with an EDN8."
"Xenophobe","Single Loop (NES)","Nintendo Entertainment System","USA / NTSC",3,1657.0,"2019-07-07","https://www.youtube.com/watch?v=G9zFQrZVrUA","Played on a front-loader with an EDN8."
"Spanky's Quest (SNES)","Any% JP","Super Nintendo","JPN / NTSC",2,2405.0,"2019-07-06","https://www.youtube.com/watch?v=FbSHs8LMaDE","Played on a SNS-001 with an original cart.    Control gained: 4.21  Points appearing after final boss: 40:09.46    Total time: 40:05.25"
"Golden Axe","Beginner","Sega Genesis","USA / NTSC",18,232.0,"2019-07-05","https://www.youtube.com/watch?v=9NNlhcSszhE","Played on a Genesis v2 with original cart.    Wasn't sure when the ""final blow upon Death Adder Jr."" is when you kill him with magic.  I picked a pretty conservative moment to time it at (3:52.74 by my split timer)."
"Wimbledon Championship Tennis","Singles Match","Sega Genesis","USA / NTSC",1,173.0,"2019-07-05","https://www.youtube.com/watch?v=CsXzxtS17bA","Played on a Genesis v2 with original cart."
"Wimbledon Championship Tennis","Doubles Match","Sega Genesis","USA / NTSC",1,259.0,"2019-07-05","https://www.youtube.com/watch?v=y-BtVwGWgcQ","Played on a Genesis v2 with original cart.    Match Won appears on 4:19. Time Adjusted accordingly - Tenka"
"Space Spartans","1 Loop","Intellivision","USA / NTSC",1,158.0,"2019-07-05","https://youtu.be/CUtOQXnyOYM","None"
"Ironsword: Wizards & Warriors II","Any%","Nintendo Entertainment System","",15,681.0,"2019-07-04","https://www.youtube.com/watch?v=hcWF6Ip4z7o","Played on a front-loader with an original cart."
"Ishido: The Way of the Stones","1 Win (GEN)","Sega Genesis","USA / NTSC",1,133.0,"2019-06-30","https://www.youtube.com/watch?v=057lg1kO1uM","Played on a Genesis v2 with a MED x5."
"The Electric Company: Math Fun","99/99","Intellivision","USA / NTSC",2,528.0,"2019-06-30","https://youtu.be/lIQSeACZVUA","Played on BizHawk."
"Ishido: The Way of the Stones","1 Win (Amiga)","Amiga","USA / NTSC",1,117.0,"2019-06-27","https://www.youtube.com/watch?v=u2ikXsal0sA","Note: this version differs enough from the Genesis version that I chose slightly different start and stop points.    First tile to place appears in the upper right corner - 1.24  Last tile to place disappears from the upper right corner - 1:58.27    Total run time - 1:57.03"
"Portal for the C64","Beat The Game","Commodore 64","",3,195.05,"2019-06-26","https://www.youtube.com/watch?v=v1iPuFYPz5A","NTSC version, played on VICE.    Gained control - 0:2.34  Credits - 3:17.39    Run duration - 3:15.05"
"Portal for the C64","Beat The Game","Commodore 64","",3,74.45,"2019-06-26","https://www.youtube.com/watch?v=U9_E2_yfjtg","NTSC version, played on VICE.    Gained control in Level 1 - 0:2.34  Level 10 complete - 1:16.79  "
"One on One: Dr. J vs. Larry Bird","21%","Atari 7800","USA / NTSC",1,100.87,"2019-06-25","https://www.youtube.com/watch?v=TRNNynp-oy8","Start at 0.10  End at 1:40.97"
"Robotron: 2084","GBA","Game Boy Advance","USA / NTSC",1,79.44,"2019-06-25","https://www.youtube.com/watch?v=BdTLt1iJ8Pk","Control gained at 0.68  Wave 10 cleared at 1:20.12    Run time: 1:19.44"
"Robotron: 2084","GBA","Game Boy Advance","USA / NTSC",1,169.01,"2019-06-25","https://www.youtube.com/watch?v=dibU2H-l5ho","Control gained at 0.68  Wave 20 cleared at 2:49.69    Run time: 2:49.01"
"Anticipation","Easy","Nintendo Entertainment System","",4,370.0,"2019-06-22","https://www.youtube.com/watch?v=V8ByHlItsgI","Played on a front-loader NES with original cart."
"Dragonfire","Death%","Atari 2600","",5,1.51,"2019-06-22","https://www.youtube.com/watch?v=RBf1KqXl09s","None"
"Gun-Nac","Any% Novice","Nintendo Entertainment System","USA / NTSC",10,2566.0,"2019-06-22","https://www.youtube.com/watch?v=PTBt0NfLqJA","Played on a front-loader NES with an EDN8."
"Super Dodge Ball","100% (Easy)","Nintendo Entertainment System","USA / NTSC",10,351.0,"2019-06-16","https://www.youtube.com/watch?v=NmScqswccyo","Played on a front-loader with an EDN8."
"Satan's Hollow","One Wave Loop","Arcade","USA / NTSC",1,58.52,"2019-06-12","https://www.youtube.com/watch?v=VFerBRIeZaI","None"
"Satan's Hollow","Defeat Satan","Arcade","USA / NTSC",3,32.81,"2019-06-12","https://www.youtube.com/watch?v=3nwBC_RLYRI","None"
"Super Dodge Ball","Any% (Easy)","Nintendo Entertainment System","USA / NTSC",2,311.0,"2019-06-12","https://www.youtube.com/watch?v=Krblk1y3Pk8","Played on a front-loader with an EDN8."
"Aighina no Yogen: From the Legend of Balubalouk","Any% NES/FC","Nintendo Entertainment System","JPN / NTSC",1,4155.0,"2019-06-11","https://www.youtube.com/watch?v=5wDyB4PwwTk","Played on a front-loader with an EDN8.    Started timer about 1 second early."
"King of the Monsters 2 (Genesis)","Beat The Game","Sega Genesis","USA / NTSC",1,1107.0,"2019-06-02","https://www.youtube.com/watch?v=mGMMChz66zk","Played on a Genesis v2 with original cart."
"Midnight Resistance (Genesis/Mega Drive)","Any% Free Aim [Easy]","Sega Genesis","USA / NTSC",6,789.0,"2019-06-01","https://www.youtube.com/watch?v=-rzk4DMdYug","Played on a Genesis v2 with an MED x5."
"Rex Ronan: Experimental Surgeon","any%","Super Nintendo","USA / NTSC",2,865.0,"2019-05-31","https://www.youtube.com/watch?v=9eeKmWrZC3w","Played on a SNS-001 with an SD2SNES."
"Power Stone 2","Arcade Mode Any%","Dreamcast","USA / NTSC",7,464.0,"2019-05-30","https://www.youtube.com/watch?v=gSGSvmJ9BwY","Played on a Dreamcast with original disc."
